Compound  SmmetryNum  SymetGroup
Os1Si1  198  (P213)
Os1Si2  64  (Cmce)
Os1Si2  12  (C2/m)
Os1Te2  205  (Pa-3)
Os2Si3  116  (P-4c2)
Os2Si3  60  (Pbcn)
P11Rb3  60  (Pbcn)
P14Sr3  14  (P21/c)
Pb1Rb1  142  (I41/acd)
Pb1Se1  62  (Pnma)
Pb1Se1  225  (Fm-3m)
Pb1Se2  140  (I4/mcm)
Pb1Te1  221  (Pm-3m)
Pb1Te1  62  (Pnma)
Pb1Te1  225  (Fm-3m)
Pb3Pd5  5  (C2)
Pb4Rb4  142  (I41/acd)
Pb4Se4  63  (Cmcm)
Pb4Se4  62  (Pnma)
Pd1Se1  135  (P42/mbc)
Pd1Se2  61  (Pbca)
Pd1Sn4  41  (Aea2)
Pd1Sr1  63  (Cmcm)
Pd1Ti1  11  (P21/m)
Pd1Yb1  62  (Pnma)
Rh1Se2  62  (Pnma)
Rh1Si1  14  (P21/c)
Rh1Sn2  41  (Aea2)
Rh1Zr3  82  (I-4)
Rh2Se3  60  (Pbcn)
Rh2Th1  194  (P63/mmc)
Rh2Yb1  227  (Fd-3m)
Ru1Sb2  58  (Pnnm)
